id,id
399156,597946
399158,598604
399162,597946
1318611,598768
1318613,542552
1318613,542997
1318613,1211638
1318613,1211631
1318613,543050
1318613,363601
1318613,542783
1318613,546179
1318614,546981
1318614,546296
1318614,546000
1318614,542553
1318614,546477
1318614,546178
1318614,542564
1318614,546295
1318614,542998
1318615,546878
1318615,546178
1318615,546870
1318616,546178
1318616,542998
1318617,546986
1318617,546040
1318617,546879
1318617,546016
1318617,1318637
1318617,546422
1318618,546864
1318618,542545
1318618,546869
1318618,546189
1318618,542824
1318618,546177
1318619,546983
1318619,546966
1318619,546296
1318619,542309
1318619,545913
1318619,546868
1318619,546889
1318619,542477
1318621,542390
1318621,546296
1318621,546049
1318621,546898
1318621,543033
1318621,543036
1318621,542957
1318621,546504
1318621,546629
1318621,543012
1318621,542848
1318621,542959
1318623,546584
1318623,542776
1318623,546884
1318624,542390
1318624,546018
1318624,546966
1318624,546326
1318624,546307
1318624,546390
1318624,546308
1318624,546874
1318624,546336
1318624,546691
1318625,546049
1318625,543033
1318625,542477
1318625,542973
1318625,546295
1318625,546875
1318625,546629
1318625,543012
1318625,542848
1318625,1211610
1318626,361593
1318626,546182
1318626,546296
1318626,546000
1318626,546708
1318626,546049
1318626,543003
1318626,542979
1318626,546230
1318626,546899
1318626,546875
1318626,1211610
1318626,542976
1318626,1211605
1318627,542803
1318627,542391
1318627,542542
1318627,542473
1318627,361920
1318627,542526
1318627,542560
1318627,542587
1318627,546422
1318627,546593
1318627,542846
1318628,1318631
1318628,545876
1318628,546178
1318628,546870
1318628,542415
1318629,546296
1318629,546000
1318629,546680
1318629,546295
1318630,546296
1318630,546557
1318630,542600
1318630,542492
1318630,546902
1318630,546708
1318630,542477
1318630,361696
1318630,542953
1318630,542580
1318630,546956
1318631,545889
1318631,546178
1318631,546528
1318631,546807
1318631,546870
1318632,546053
1318632,542535
1318632,542558
1318632,542593
1318632,542497
1318632,546877
1318632,546332
1318633,546595
1318633,546127
1318633,1211621
1318633,546875
1318633,546362
1318633,542742
1318633,542998
1318633,542976
1318633,542415
1318634,546983
1318634,546889
1318634,542977
1318634,1211605
1318635,546620
1318635,545876
1318635,546143
1318636,542752
1318636,546965
1318636,542636
1318636,1211625
1318636,546692
1318636,546903
1318636,1211636
1318636,542310
1318637,546986
1318637,546879
1318637,546942
1318637,546779
1318637,1318617
1318637,546866
1318637,545913
1318637,546893
1318637,546473
1318637,546515
1318637,546581
1318637,546954
1318638,546173
1318639,643630
1318639,546553
1318639,546221
1318640,543033
1318641,546477
1318641,546843
1318641,546422
1318641,546634
1318642,542862
1318642,546965
1318642,542660
1318642,1211625
1318642,546420
1318643,546068
1318643,542492
1318643,546049
1318643,542979
1318643,542973
1318643,542650
1318643,542907
1318644,542987
1318644,546866
1318644,546422
1318644,542776
1318645,387736
1318645,546962
1318645,543018
1318645,542983
1318645,546542
1318645,546556
1318645,546422
1318646,542552
1318646,546961
1318646,546863
1318646,542957
1318646,542477
1318646,546398
1318647,542981
1318648,542390
1318648,542334
1318648,542475
1318648,546983
1318648,546985
1318648,542911
1318648,546000
1318648,542551
1318648,542535
1318648,542558
1318648,546477
1318648,546889
1318648,546178
1318648,546295
1318648,1211621
1318648,542998
1318648,546844
1318648,542976
1318649,597937
1318649,546286
1318650,543013
1318650,546946
1318650,543050
1318650,546959
1318650,546767
1318651,546981
1318651,542564
1318651,674487
1318651,363660
11639,674115
11639,674139
11639,643299
11653,673832
11653,674587
11653,674751
11659,11659
11677,388498
11679,673673
11696,597880
11696,600010
11696,598759
11698,595867
11716,388363
11718,642422
11749,597957
11749,300902
11749,599994
11749,389400
11760,389286
11772,1065203
11772,390751
11786,472377
11786,334496
11812,472510
11814,387652
11814,390863
11840,673956
11840,641830
11840,595149
11840,20132
11871,387747
11895,473095
11895,673956
11895,472549
11895,674336
11895,21473
11902,387450
11902,389124
11945,388036
11945,390843
11949,390325
11955,334466
11975,594499
11985,472475
11985,472377
11985,472343
11985,334496
11985,598533
11985,335504
11998,388521
12009,514954
12015,334445
12015,335951
12022,589756
12041,15367
12047,515013
12047,387747
12056,95841
12080,20518
12080,473008
12091,387652
12091,389172
12091,391001
12111,642174
12111,388823
12114,473352
12141,589756
12142,590136
12143,590469
12173,598160
12189,472624
12224,95272
12224,674280
12224,599155
12228,20213
12228,20950
12228,21025
12228,20212
12228,19940
12228,20945
12266,390095
12276,19930
12276,107241
12280,334445
12280,387783
12281,387902
12283,390347
12283,643985
12356,673999
12357,673999
12358,388521
12358,390434
12362,388521
12364,673999
12366,390676
12368,642759
12368,299361
12368,387652
12375,389939
